18.09.20;5668;325921
19.09.20;5279;292119
20.09.20;3739;252114
21.09.20;4102;276086
22.09.20;5972;284514
23.09.20;5610;276092
24.09.20;6654;353037
25.09.20;5903;330870
26.09.20;5345;288442
27.09.20;3687;251391
28.09.20;3975;254780
29.09.20;5902;282668
30.09.20;6464;326210
1.10.20;8715;318303
2.10.20;4936;297866
3.10.20;5363;332044
4.10.20;3839;261397
5.10.20;6947;301023
6.10.20;5776;326519
7.10.20;5836;350997
8.10.20;6278;361327
9.10.20;6150;360897
10.10.20;4882;357101
11.10.20;4033;286912
12.10.20;3983;291766
13.10.20;5286;319259
14.10.20;6073;382334
15.10.20;6115;406984
16.10.20;6185;411771
17.10.20;5597;372657
18.10.20;3542;316563
19.10.20;4836;387210
20.10.20;6553;389002
21.10.20;6630;444890
22.10.20;5936;472719
23.10.20;6971;496798
24.10.20;5817;456784
25.10.20;4211;360653
26.10.20;5517;486411
27.10.20;7372;470233
28.10.20;7160;511872
29.10.20;7086;550415
30.10.20;7599;571055
31.10.20;6578;476765
1.11.20;5010;462384
2.11.20;6103;563127
3.11.20;9345;553745
4.11.20;10251;511552
5.11.20;8013;596558
6.11.20;9661;644854
7.11.20;7600;596892
8.11.20;5874;483974
9.11.20;7223;501532
10.11.20;9993;559377
11.11.20;10451;648606
12.11.20;9766;649543
13.11.20;9588;652073
14.11.20;9082;594970
15.11.20;6424;473941
16.11.20;7954;534457
17.11.20;11071;611220
18.11.20;11413;627103
19.11.20;11032;653585
20.11.20;11887;668744
21.11.20;8972;587564
22.11.20;7194;487981
23.11.20;8525;525319
24.11.20;12660;590261
25.11.20;12131;636224
26.11.20;10887;582475
27.11.20;11386;687148
28.11.20;9282;586031
29.11.20;7160;488583
30.11.20;8879;508641
1.12.20;12684;612097
2.12.20;12586;651398
3.12.20;12572;694328
4.12.20;12520;683276
5.12.20;10288;642163
6.12.20;7427;538754
7.12.20;8713;520019
8.12.20;12278;643528
9.12.20;12719;669911
10.12.20;12696;1498213
11.12.20;13027;704497
12.12.20;10541;634850
13.12.20;7457;530838
14.12.20;9170;525387
15.12.20;13951;636206
16.12.20;13659;733726
17.12.20;13448;739582
18.12.20;12787;720462
19.12.20;10769;611253
20.12.20;7914;533473
21.12.20;9643;549297
22.12.20;14313;650261
23.12.20;13806;695122
24.12.20;11629;666640
25.12.20;8598;465550
26.12.20;7398;512602
27.12.20;7399;438453
28.12.20;9755;496323
29.12.20;15164;664428
30.12.20;15260;761230
31.12.20;13168;725009
1.01.21;9662;533018
2.01.21;8432;626359
3.01.21;7341;532796
4.01.21;10147;554118
5.01.21;15333;740122
6.01.21;15052;783372
7.01.21;14937;880837
8.01.21;15165;803222
9.01.21;12784;760994
10.01.21;8347;589134
11.01.21;10323;619930
12.01.21;17103;705508
13.01.21;16703;748388
14.01.21;15369;755228
15.01.21;15109;767187
16.01.21;13248;639144
17.01.21;8662;529212
18.01.21;9426;515066
19.01.21;16582;608426
20.01.21;17906;692937
21.01.21;16788;656323
22.01.21;16019;659061
23.01.21;13294;568124
24.01.21;8968;445654
25.01.21;10764;497340
26.01.21;17307;556238
27.01.21;16679;598361
28.01.21;17049;614251
29.01.21;14944;590443
30.01.21;13586;515330
31.01.21;7986;381639
1.02.21;10217;446774
2.02.21;14835;457957
3.02.21;15726;521981
4.02.21;12532;466907
5.02.21;16571;535428
6.02.21;10137;372125
7.02.21;7985;398078
8.02.21;8332;315893
9.02.21;15536;428033
10.02.21;13402;435741
11.02.21;13473;441465
12.02.21;12473;428689
13.02.21;9805;373301
14.02.21;6362;293850
15.02.21;6893;283166
16.02.21;10916;351020
17.02.21;11338;395555
18.02.21;11370;403516
19.02.21;11048;412519
20.02.21;8512;370455
21.02.21;5878;314446
22.02.21;6949;288438
23.02.21;11180;388853
24.02.21;12002;444936
25.02.21;10165;447478
26.02.21;10249;443039
27.02.21;8140;389230
28.02.21;5434;303509
1.03.21;7206;305864
2.03.21;10434;310288
3.03.21;11072;441142
4.03.21;9778;453049
5.03.21;10017;447054
6.03.21;7831;410533
7.03.21;5273;368312
8.03.21;6860;298723
9.03.21;9980;414665
10.03.21;9688;467079
11.03.21;9764;476896
12.03.21;9623;489328
13.03.21;7984;454116
14.03.21;5496;360385
15.03.21;6818;348901
16.03.21;9884;473013
17.03.21;10120;539285
18.03.21;10570;553723
19.03.21;10396;561679
20.03.21;8044;498820
21.03.21;5800;423315
22.03.21;7494;416821
23.03.21;11104;514245
24.03.21;9721;633581
25.03.21;11334;651350
26.03.21;12213;641351
27.03.21;9833;584592
28.03.21;6475;469958
29.03.21;7958;458405
30.03.21;11568;568273
31.03.21;12272;683205
1.04.21;11867;711787
2.04.21;10254;633739
3.04.21;8401;530494
4.04.21;6908;551752
5.04.21;7466;489584
6.04.21;11812;604087
7.04.21;14830;684346
8.04.21;14638;839850
9.04.21;13406;748045
10.04.21;12409;664507
11.04.21;8560;690741
12.04.21;9299;616625
13.04.21;13333;779567
14.04.21;13533;817025
15.04.21;13200;816761
16.04.21;12826;854855
17.04.21;12010;788042
18.04.21;8603;685495
19.04.21;10485;693422
20.04.21;14188;8
